City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
281,Petkovci,BA,44.4531,19.0761,70.38,75,0,4.05,clear sky
282,Burgersdorp,ZA,-30.9977,26.3286,45.45,42,0,3.4,clear sky
283,Inta,RU,66.0317,60.1659,36.59,77,96,10.58,overcast clouds
284,Inhambane,MZ,-23.865,35.3833,65.12,83,14,9.06,few clouds
285,Oskemen,KZ,49.9565,82.6119,69.76,73,100,8.95,overcast clouds
286,Gryfino,PL,53.2524,14.4883,77.32,76,62,3.85,broken clouds
287,San Cristobal,VE,7.7669,-72.225,80.78,82,96,3.42,overcast clouds
288,Dulce Nombre De Culmi,HN,15.1,-85.5333,93.43,51,68,5.19,broken clouds
289,Jacareacanga,BR,-6.2222,-57.7528,84.72,56,58,0.25,broken clouds
290,Boca Do Acre,BR,-8.7522,-67.3978,87.39,47,13,3.0,few clouds
291,Urumqi,CN,43.801,87.6005,77.95,29,0,2.24,clear sky
292,Miri,MY,4.4148,114.0089,77.14,100,40,3.44,scattered clouds
293,Vallenar,CL,-28.5708,-70.7581,64.31,35,100,4.76,overcast clouds
294,Karpathos,GR,35.507,27.2132,75.16,78,1,16.11,clear sky
295,Aichach,DE,48.4576,11.1341,72.45,60,1,8.05,light rain
296,Brae,GB,60.3964,-1.353,53.98,85,40,20.02,scattered clouds
297,Japura,ID,-0.3167,102.35,73.58,97,61,1.95,broken clouds
298,Lieksa,FI,63.3167,30.0167,65.35,71,9,3.33,clear sky
299,Nishihara,JP,26.1842,127.7558,82.06,92,75,9.22,broken clouds
300,Castro,BR,-24.7911,-50.0119,55.38,83,99,6.17,overcast clouds
301,Somerset,US,40.5668,-74.5496,93.18,48,83,4.0,broken clouds
302,Sabzevar,IR,36.2126,57.6819,88.88,15,40,13.8,scattered clouds
303,Kuryk,KZ,43.2,51.65,82.29,49,100,9.46,light rain
304,Sandakan,MY,5.8402,118.1179,78.48,83,20,2.3,few clouds
305,Bethel,US,41.3712,-73.414,91.35,49,70,1.99,broken clouds
306,Labuhan,ID,-6.8844,112.2051,75.79,90,99,10.29,overcast clouds
307,Cairns,AU,-16.9167,145.7667,73.06,90,100,17.27,overcast clouds
308,Pyinmana,MM,19.7333,96.2167,75.38,93,100,4.05,overcast clouds
309,La Ronge,CA,55.1001,-105.2842,79.05,24,40,14.97,scattered clouds
310,Baruun-Urt,MN,46.6806,113.2792,62.89,69,100,4.9,light rain
311,Cabo San Lucas,MX,22.8909,-109.9124,81.05,91,100,5.99,overcast clouds
312,Muros,ES,42.7762,-9.0603,59.09,76,1,9.73,clear sky
313,Husavik,IS,66.0449,-17.3389,40.03,87,100,5.55,overcast clouds
314,Segamat,MY,2.5148,102.8158,74.64,96,74,2.04,broken clouds
315,Abashiri,JP,44.0213,144.2697,61.95,98,89,3.6,overcast clouds
316,Vagur,FO,61.4732,-6.8119,49.91,93,69,21.7,broken clouds
317,Olinda,BR,-8.0089,-34.8553,76.73,83,40,6.91,scattered clouds
318,Skibbereen,IE,51.55,-9.2667,54.1,75,61,16.78,broken clouds
319,Labytnangi,RU,66.6572,66.4183,50.72,56,100,10.58,overcast clouds
320,Tateyama,JP,34.9833,139.8667,77.09,91,25,12.91,scattered clouds
321,Khatanga,RU,71.9667,102.5,44.42,59,8,13.89,clear sky
322,Gouyave,GD,12.1646,-61.7296,79.57,89,75,27.63,broken clouds
323,Bismarck,US,46.8083,-100.7837,74.64,42,40,12.66,scattered clouds
324,Tautira,PF,-17.7333,-149.15,78.46,78,32,16.84,light rain
325,Codrington,AU,-38.2667,141.9667,47.53,76,83,5.86,broken clouds
326,Alvorada,BR,-12.48,-49.1247,81.28,25,13,3.53,few clouds
327,Awjilah,LY,29.1081,21.2869,92.73,21,0,9.86,clear sky
328,Ostrovnoy,RU,68.0531,39.5131,40.55,95,12,10.71,few clouds
329,Kloulklubed,PW,7.0419,134.2556,83.19,73,93,8.57,heavy intensity rain
330,Port Macquarie,AU,-31.4333,152.9167,45.9,75,98,10.49,overcast clouds
331,Praia,CV,14.9215,-23.5087,75.74,73,40,21.85,scattered clouds
332,Mastic,US,40.802,-72.8409,85.1,67,0,12.66,clear sky
333,Hasaki,JP,35.7333,140.8333,73.8,86,5,6.29,clear sky
334,Mattru,SL,7.6244,-11.8332,75.02,95,99,3.71,overcast clouds
335,Coahuayana,MX,18.7333,-103.6833,86.54,56,100,5.97,overcast clouds
336,Qaqortoq,GL,60.7167,-46.0333,40.87,92,100,13.24,overcast clouds
337,Qaanaaq,GL,77.484,-69.3632,45.75,61,100,2.48,overcast clouds
338,Bhunya,SZ,-26.55,31.0167,45.63,79,0,3.87,clear sky
339,Sao Raimundo Nonato,BR,-9.0153,-42.6994,79.29,33,9,4.9,light rain
340,Haines Junction,CA,60.7522,-137.5108,73.35,40,27,3.44,scattered clouds
341,Hobyo,SO,5.3505,48.5268,79.05,77,36,31.27,scattered clouds
342,Pitimbu,BR,-7.4706,-34.8086,81.19,84,6,12.68,clear sky
343,Henties Bay,NA,-22.116,14.2845,65.19,56,1,5.26,clear sky
344,Faanui,PF,-16.4833,-151.75,80.04,74,85,19.8,overcast clouds
345,Bereda,ES,43.2686,-7.5406,55.42,100,67,2.62,broken clouds
346,Hovd,MN,48.0056,91.6419,69.53,38,0,2.77,clear sky
