City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
156,Berlevag,NO,2022-06-19 18:21:38,70.8578,29.0864,42.8,87,100,6.91
157,Biloela,AU,2022-06-19 18:21:38,-24.4167,150.5,54.03,92,56,7.07
158,Cap Malheureux,MU,2022-06-19 18:21:39,-19.9842,57.6142,68.47,69,10,3.0
159,Maba,CN,2022-06-19 18:21:39,24.6841,113.5984,75.25,97,100,1.99
160,Lorengau,PG,2022-06-19 18:21:39,-2.0226,147.2712,80.1,72,2,2.71
161,Necochea,AR,2022-06-19 18:19:05,-38.5473,-58.7368,48.74,63,95,18.34
162,Salym,RU,2022-06-19 18:21:40,60.0625,71.4789,65.86,64,74,4.43
163,Aklavik,CA,2022-06-19 18:21:40,68.2191,-135.0107,48.2,66,40,14.97
164,Lagos,NG,2022-06-19 18:21:40,6.5833,3.75,80.92,89,76,5.91
165,Fairbanks,US,2022-06-19 18:16:53,64.8378,-147.7164,63.09,76,100,4.61
166,Pangody,RU,2022-06-19 18:21:41,65.85,74.4859,66.49,53,93,13.29
167,Hay River,CA,2022-06-19 18:21:41,60.8156,-115.7999,60.76,63,40,6.91
168,Tiksi,RU,2022-06-19 18:21:41,71.6872,128.8694,34.34,87,100,20.54
169,Longyearbyen,SJ,2022-06-19 18:21:42,78.2186,15.6401,40.84,81,75,9.22
170,Asau,RO,2022-06-19 18:21:42,46.4333,26.4,68.92,68,4,1.66
171,Kununurra,AU,2022-06-19 18:18:33,-15.7667,128.7333,58.98,82,99,3.44
172,Leningradskiy,RU,2022-06-19 18:21:42,69.3833,178.4167,48.04,74,96,4.09
173,Derzhavinsk,KZ,2022-06-19 18:21:43,51.1,66.3167,70.9,50,77,3.85
174,Simpang Empat,MY,2022-06-19 18:21:43,4.95,100.6333,76.14,94,95,2.55
175,Alofi,NU,2022-06-19 18:21:43,-19.0595,-169.9187,75.09,94,59,4.61
176,Arrifes,PT,2022-06-19 18:21:44,37.7667,-25.7,64.65,72,40,18.41
177,Anito,PH,2022-06-19 18:21:44,12.4497,125.2886,78.67,87,47,3.31
178,Port Elizabeth,ZA,2022-06-19 18:21:44,-33.918,25.5701,56.32,85,0,5.75
179,Cururupu,BR,2022-06-19 18:21:44,-1.8283,-44.8683,80.65,85,92,6.24
180,Waipawa,NZ,2022-06-19 18:21:45,-41.4122,175.5153,45.34,76,99,20.02
181,Port Alfred,ZA,2022-06-19 18:21:45,-33.5906,26.891,59.07,69,57,10.16
182,Teguise,ES,2022-06-19 18:22:45,29.0605,-13.564,71.82,69,75,21.85
183,Bethel,US,2022-06-19 18:22:46,41.3712,-73.414,72.16,40,0,13.8
184,Savannah Bight,HN,2022-06-19 18:22:46,16.45,-85.85,81.05,82,100,21.61
185,Gigmoto,PH,2022-06-19 18:22:46,13.7796,124.39,81.14,83,58,3.2
