City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
402,Bambanglipuro,ID,76.12,overcast clouds,-7.95,110.2833,Puri Brata
404,Belmonte,BR,74.25,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
405,Ixtapa,MX,83.23,overcast clouds,20.7,-105.2,hotel la terminal
407,Partapur,IN,82.81,few clouds,23.6,74.1667,Hotel The Park
408,Lazaro Cardenas,MX,85.42,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
409,Thompson,CA,73.56,smoke,55.7435,-97.8558,Burntwood Hotel
412,Portage,US,82.87,broken clouds,41.1667,-81.1998,Rocking Horse Inn
414,Fort Pierce,US,88.05,scattered clouds,27.4467,-80.3256,Hutchinson Island Plaza Hotel & Suites
418,Mehriz,IR,84.7,clear sky,31.5917,54.4318,Mehrgard dwelling/سرای مهرگرد
419,Krizevci,HR,72.99,clear sky,46.0219,16.5425,Koristan Kod d.o.o.
420,Sinjar,IQ,80.13,clear sky,36.3209,41.8754,زوماني فون 1
423,Nantucket,US,75.15,few clouds,41.2835,-70.0995,Jared Coffin House
424,Miles City,US,74.48,clear sky,46.4083,-105.8406,FairBridge Inn & Suites Miles City
426,Alenquer,BR,85.71,overcast clouds,-1.9417,-54.7383,Detinha Hotel
427,Eganville,CA,81.52,overcast clouds,45.5334,-77.0994,Egan Inn
428,Bathsheba,BB,84.81,scattered clouds,13.2167,-59.5167,Atlantis Hotel
429,Elk City,US,79.48,clear sky,35.412,-99.4043,Hampton Inn & Suites Elk City
430,Glendive,US,77.7,clear sky,47.1053,-104.7125,Super 8 by Wyndham Glendive
434,Fereydun Kenar,IR,80.82,clear sky,36.6864,52.5225,Khezer Shahr Tourist Hotel
435,Ketchikan,US,70.7,few clouds,55.3422,-131.6461,Snow's Cove Lodge
436,Trairi,BR,79.2,broken clouds,-3.2778,-39.2689,janelas do mar
437,Kutum,SD,81.21,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
438,Nouadhibou,MR,71.58,sand,20.931,-17.0347,El Medina
442,Half Moon Bay,US,87.04,few clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
443,Kuala Terengganu,MY,76.95,few clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
444,Valentin Gomez Farias,MX,85.86,scattered clouds,28.2167,-106.5833,
